#si 50
#nm 201
energy=326;biomass=8360;fitness=10360;lowestEnergy=0;highestEnergy=974;meanEnergy=266.125;meanBiomass=4180.980;nGenes=24;nSites=25
energy=368;biomass=9820;fitness=11820;lowestEnergy=0;highestEnergy=993;meanEnergy=250.653;meanBiomass=4837.906;nGenes=25;nSites=31
energy=334;biomass=31640;fitness=33640;lowestEnergy=0;highestEnergy=966;meanEnergy=303.105;meanBiomass=16262.839;nGenes=25;nSites=34
energy=315;biomass=41370;fitness=43370;lowestEnergy=0;highestEnergy=978;meanEnergy=285.693;meanBiomass=21305.172;nGenes=23;nSites=35
energy=306;biomass=47120;fitness=49120;lowestEnergy=0;highestEnergy=966;meanEnergy=287.632;meanBiomass=23919.190;nGenes=23;nSites=33
energy=248;biomass=53570;fitness=55570;lowestEnergy=0;highestEnergy=992;meanEnergy=277.058;meanBiomass=27550.915;nGenes=21;nSites=26
energy=362;biomass=73990;fitness=75990;lowestEnergy=0;highestEnergy=994;meanEnergy=284.750;meanBiomass=38457.611;nGenes=21;nSites=27
energy=297;biomass=75840;fitness=77840;lowestEnergy=0;highestEnergy=998;meanEnergy=285.292;meanBiomass=37877.256;nGenes=20;nSites=25
energy=356;biomass=40970;fitness=42970;lowestEnergy=0;highestEnergy=960;meanEnergy=261.856;meanBiomass=21340.325;nGenes=20;nSites=30
energy=314;biomass=39330;fitness=41330;lowestEnergy=0;highestEnergy=972;meanEnergy=279.004;meanBiomass=20225.487;nGenes=20;nSites=14
energy=349;biomass=60410;fitness=62410;lowestEnergy=0;highestEnergy=978;meanEnergy=277.647;meanBiomass=30184.603;nGenes=19;nSites=15
energy=362;biomass=61800;fitness=63800;lowestEnergy=0;highestEnergy=1003;meanEnergy=267.215;meanBiomass=31503.448;nGenes=19;nSites=16
energy=348;biomass=62940;fitness=64940;lowestEnergy=0;highestEnergy=1004;meanEnergy=286.475;meanBiomass=32096.602;nGenes=20;nSites=12
energy=323;biomass=65070;fitness=67070;lowestEnergy=0;highestEnergy=1016;meanEnergy=281.256;meanBiomass=32109.300;nGenes=20;nSites=13
energy=352;biomass=40580;fitness=42580;lowestEnergy=0;highestEnergy=974;meanEnergy=259.384;meanBiomass=21339.390;nGenes=19;nSites=10
energy=330;biomass=45110;fitness=47110;lowestEnergy=0;highestEnergy=984;meanEnergy=265.363;meanBiomass=23176.427;nGenes=19;nSites=17
energy=331;biomass=50950;fitness=52950;lowestEnergy=0;highestEnergy=970;meanEnergy=281.313;meanBiomass=25426.812;nGenes=19;nSites=14
energy=336;biomass=50300;fitness=52300;lowestEnergy=0;highestEnergy=992;meanEnergy=271.751;meanBiomass=26156.197;nGenes=20;nSites=15
energy=408;biomass=79270;fitness=81270;lowestEnergy=0;highestEnergy=984;meanEnergy=299.386;meanBiomass=39855.247;nGenes=19;nSites=13
energy=319;biomass=79710;fitness=81710;lowestEnergy=0;highestEnergy=974;meanEnergy=280.269;meanBiomass=39335.702;nGenes=19;nSites=10
energy=342;biomass=34240;fitness=36240;lowestEnergy=0;highestEnergy=981;meanEnergy=255.439;meanBiomass=17494.278;nGenes=20;nSites=14
energy=321;biomass=36440;fitness=38440;lowestEnergy=0;highestEnergy=964;meanEnergy=255.822;meanBiomass=19391.969;nGenes=20;nSites=14
energy=385;biomass=80390;fitness=82390;lowestEnergy=0;highestEnergy=979;meanEnergy=287.533;meanBiomass=40149.005;nGenes=20;nSites=19
energy=342;biomass=82100;fitness=84100;lowestEnergy=0;highestEnergy=978;meanEnergy=275.418;meanBiomass=41865.512;nGenes=19;nSites=14
energy=332;biomass=72450;fitness=74450;lowestEnergy=0;highestEnergy=1008;meanEnergy=255.524;meanBiomass=37405.112;nGenes=19;nSites=13
energy=322;biomass=68150;fitness=70150;lowestEnergy=0;highestEnergy=986;meanEnergy=276.189;meanBiomass=34507.686;nGenes=19;nSites=12
energy=302;biomass=26410;fitness=28410;lowestEnergy=0;highestEnergy=975;meanEnergy=250.232;meanBiomass=13964.013;nGenes=19;nSites=18
energy=251;biomass=27750;fitness=29750;lowestEnergy=0;highestEnergy=966;meanEnergy=247.054;meanBiomass=14118.346;nGenes=19;nSites=18
energy=347;biomass=67420;fitness=69420;lowestEnergy=0;highestEnergy=964;meanEnergy=287.881;meanBiomass=35635.947;nGenes=19;nSites=20
energy=322;biomass=66540;fitness=68540;lowestEnergy=0;highestEnergy=968;meanEnergy=286.933;meanBiomass=33489.600;nGenes=19;nSites=20
energy=329;biomass=59640;fitness=61640;lowestEnergy=0;highestEnergy=988;meanEnergy=287.129;meanBiomass=30527.421;nGenes=19;nSites=22
energy=416;biomass=59230;fitness=61230;lowestEnergy=0;highestEnergy=988;meanEnergy=279.994;meanBiomass=30796.882;nGenes=19;nSites=20
energy=332;biomass=50860;fitness=52860;lowestEnergy=0;highestEnergy=968;meanEnergy=263.179;meanBiomass=27122.974;nGenes=19;nSites=16
energy=324;biomass=53460;fitness=55460;lowestEnergy=0;highestEnergy=986;meanEnergy=262.046;meanBiomass=27431.304;nGenes=19;nSites=18
energy=305;biomass=60090;fitness=62090;lowestEnergy=0;highestEnergy=974;meanEnergy=284.202;meanBiomass=29109.590;nGenes=19;nSites=19
energy=127;biomass=62190;fitness=64190;lowestEnergy=0;highestEnergy=970;meanEnergy=254.080;meanBiomass=30948.726;nGenes=19;nSites=15
energy=340;biomass=65990;fitness=67990;lowestEnergy=0;highestEnergy=978;meanEnergy=285.990;meanBiomass=34677.526;nGenes=19;nSites=13
energy=281;biomass=65630;fitness=67630;lowestEnergy=0;highestEnergy=995;meanEnergy=286.132;meanBiomass=33111.484;nGenes=19;nSites=12
energy=330;biomass=74300;fitness=76300;lowestEnergy=0;highestEnergy=984;meanEnergy=276.930;meanBiomass=37949.470;nGenes=19;nSites=11
energy=253;biomass=75690;fitness=77690;lowestEnergy=0;highestEnergy=988;meanEnergy=277.418;meanBiomass=38108.171;nGenes=19;nSites=14
energy=305;biomass=43540;fitness=45540;lowestEnergy=0;highestEnergy=963;meanEnergy=268.006;meanBiomass=22496.162;nGenes=20;nSites=13
energy=329;biomass=43030;fitness=45030;lowestEnergy=0;highestEnergy=966;meanEnergy=256.963;meanBiomass=23010.195;nGenes=20;nSites=14
energy=188;biomass=68510;fitness=70510;lowestEnergy=0;highestEnergy=977;meanEnergy=268.655;meanBiomass=35293.113;nGenes=20;nSites=10
energy=316;biomass=67280;fitness=69280;lowestEnergy=0;highestEnergy=970;meanEnergy=265.834;meanBiomass=34324.913;nGenes=20;nSites=11
energy=357;biomass=69900;fitness=71900;lowestEnergy=0;highestEnergy=960;meanEnergy=268.839;meanBiomass=35186.517;nGenes=20;nSites=12
energy=333;biomass=68950;fitness=70950;lowestEnergy=0;highestEnergy=978;meanEnergy=268.893;meanBiomass=35836.707;nGenes=20;nSites=9
energy=259;biomass=68020;fitness=70020;lowestEnergy=0;highestEnergy=982;meanEnergy=261.939;meanBiomass=34703.113;nGenes=20;nSites=13
energy=329;biomass=67770;fitness=69770;lowestEnergy=0;highestEnergy=964;meanEnergy=269.681;meanBiomass=33693.798;nGenes=20;nSites=15
energy=200;biomass=49570;fitness=51570;lowestEnergy=0;highestEnergy=977;meanEnergy=259.391;meanBiomass=24531.684;nGenes=19;nSites=10
energy=288;biomass=49380;fitness=51380;lowestEnergy=0;highestEnergy=965;meanEnergy=274.702;meanBiomass=25116.862;nGenes=20;nSites=24
energy=324;biomass=40480;fitness=42480;lowestEnergy=0;highestEnergy=997;meanEnergy=259.031;meanBiomass=20379.900;nGenes=20;nSites=25
energy=350;biomass=41030;fitness=43030;lowestEnergy=0;highestEnergy=974;meanEnergy=261.687;meanBiomass=21398.001;nGenes=21;nSites=26
energy=342;biomass=61420;fitness=63420;lowestEnergy=0;highestEnergy=962;meanEnergy=261.717;meanBiomass=30467.306;nGenes=20;nSites=21
energy=242;biomass=61850;fitness=63850;lowestEnergy=0;highestEnergy=964;meanEnergy=264.857;meanBiomass=31717.771;nGenes=20;nSites=17
energy=357;biomass=63670;fitness=65670;lowestEnergy=0;highestEnergy=973;meanEnergy=251.300;meanBiomass=32311.104;nGenes=19;nSites=11
energy=334;biomass=62330;fitness=64330;lowestEnergy=0;highestEnergy=971;meanEnergy=257.097;meanBiomass=30975.532;nGenes=19;nSites=11
energy=256;biomass=52880;fitness=54880;lowestEnergy=0;highestEnergy=976;meanEnergy=258.189;meanBiomass=25905.102;nGenes=20;nSites=15
energy=340;biomass=53970;fitness=55970;lowestEnergy=0;highestEnergy=976;meanEnergy=253.971;meanBiomass=27729.895;nGenes=19;nSites=14
energy=343;biomass=83220;fitness=85220;lowestEnergy=0;highestEnergy=888;meanEnergy=278.534;meanBiomass=41952.524;nGenes=19;nSites=11
energy=307;biomass=84580;fitness=86580;lowestEnergy=0;highestEnergy=1013;meanEnergy=280.085;meanBiomass=43025.812;nGenes=19;nSites=11
energy=252;biomass=62410;fitness=64410;lowestEnergy=0;highestEnergy=970;meanEnergy=257.820;meanBiomass=31267.446;nGenes=20;nSites=11
energy=315;biomass=62240;fitness=64240;lowestEnergy=0;highestEnergy=966;meanEnergy=262.230;meanBiomass=32314.698;nGenes=19;nSites=11
energy=215;biomass=25670;fitness=27670;lowestEnergy=0;highestEnergy=966;meanEnergy=256.651;meanBiomass=12967.916;nGenes=19;nSites=15
energy=339;biomass=26380;fitness=28380;lowestEnergy=0;highestEnergy=980;meanEnergy=268.426;meanBiomass=13069.145;nGenes=19;nSites=17
